#Parameter value error(%)
a 3.32279414992658 10.73
b 1.54427141359085 61.81
c 0.0 0.0
d 1.72160285083389 0.5866
e -0.917694438461626 2.959
f -0.023829901492745 220.5
g 4.87920961486282 93.17
